SpeciesName,CommonName
Lophiola aurea,Goldencrest
Lotus corniculatus,"Garden Bird’s-Foot-Trefoil, Eggs-And-Bacon"
Ludwigia alata,"Winged Seedbox, Winged Primrose-Willow"
Ludwigia alternifolia,"Bushy Seedbox, Rattlebox, Alternate-Leaf Seedbox, Bushy Water-Primrose"
Ludwigia arcuata,"Piedmont Seedbox, Piedmont Primrose-Willow, Pond Primrose-Willow, Pond Seedbox, Needle-Leaf Ludwigia"
Ludwigia bonariensis,"Carolina Primrose-Willow, Carolina Seedbox"
Ludwigia decurrens,"Wing-Leaf Primrose-Willow, Wingstem Water-Primrose"
Ludwigia glandulosa,"Cylindric-Fruit Seedbox, Small-Flower Seedbox, Cylindric-Fruit Primrose-Willow, Red-Star Ludwigia"
Ludwigia grandiflora ssp. grandiflora,"Showy Water-Primrose, Large-Flower Primrose-Willow"
Ludwigia grandiflora ssp. hexapetala,"Common Water-Primrose, Six-Petal Primrose-Willow"
Ludwigia hirtella,"Spindle-Root, Rafinesque's Seedbox"
Ludwigia leptocarpa,"Angle-Stem Primrose-Willow, River Seedbox"
Ludwigia linearis,"Narrowleaf Primrose-Willow, Narrowleaf Seedbox"
Ludwigia linifolia,"Southeastern Primrose-Willow, Flaxleaf Seedbox"
Ludwigia maritima,"Seaside Primrose-Willow, Harper's Seedbox"
Ludwigia microcarpa,"Small-Fruit Seedbox, Small-Fruit Primrose-Willow"
Ludwigia octovalvis,Mexican Primrose-Willow
Ludwigia palustris,"Marsh Seedbox, Marsh Primrose-Willow, Common Water-Purslane"
Ludwigia peploides ssp. glabrescens,"Floating Primrose-Willow, Creeping Water-Primrose, Floating Seedbox"
Ludwigia peruviana,"Peruvian Primrose-Willow, Peruvian Water-Primrose"
Ludwigia pilosa,"Hairy Seedbox, Hairy Primrose-Willow"
Ludwigia polycarpa,"False Loosestrife, Many-Fruit Primrose-Willow, Top-Pod Water-Primrose"
Ludwigia repens,"Creeping Seedbox, Creeping Primrose-Willow, Red Ludwigia"
Ludwigia spathulata,"Spatulate Seedbox, Spoon Primrose-Willow, Southern Water-Purslane"
Ludwigia sphaerocarpa,"Globe-Fruit Seedbox, Globe-Fruit Primrose-Willow"
Ludwigia suffruticosa,"Shrubby Seedbox, Shrubby Primrose-Willow, Headed Seedbox"
Ludwigia virgata,"Savannah Seedbox, Savannah Primrose-Willow"
Lunaria annua,"Annual Honesty, Silver-Dollar, Money-Plant, Penny-Flower"
Lupinus diffusus,"Oak Ridge Lupine, Blue Sandhill Lupine, Sky-Blue Lupine, Spreading Lupine"
Lupinus perennis ssp. gracilis,Southern Sundial Lupine
Lupinus villosus,"Lady Lupine, Pink Sandhill Lupine"
Luziola bahiensis,Brazilian Watergrass
Luziola fluitans,"Southern Watergrass, Silverleaf Grass"
Luzula acuminata var. carolinae,"Carolina Wood-Rush, Southern Hairy Wood-Rush"
Luzula bulbosa,Bulbous Wood-Rush
Luzula echinata,Hedgehog Wood-Rush
Lycium carolinianum,"Christmas-Berry, Carolina Matrimony-Vine, Carolina Wolf-Berry, Carolina Desert-Thorn"
Lycopodiella alopecuroides,"Foxtail Clubmoss, Foxtail Bog Clubmoss"
Lycopodiella appressa,"Southern Clubmoss, Tight-Leaf Clubmoss, Appressed Bog Clubmoss"
Lycopodiella prostrata,"Feather-Stem Clubmoss, Creeping Clubmoss, Prostrate Bog Clubmoss"
Lycopus americanus,"American Water-Horehound, American Bugleweed, Cutleaf Water-Horehound"
Lycopus amplectens,"Clasping Water-Horehound, Sessile-Leaf Bugleweed, Sessile-Leaf Water-Horehound"
Lycopus angustifolius,"Southern Bog Water-Horehound, Southern Bog Bugleweed, Narrowleaf Bugleweed"
Lycopus rubellus,"Taper-Leaf Water-Horehound, Stalked Bugleweed, Taper-Leaf Bugleweed, Stalked Water-Horehound"
Lycopus virginicus,"Virginia Water-Horehound, Virginia Bugleweed"
Lycoris radiata,"Red Magic-Lily, Red-Spider-Lily, Naked-Lady, Red Surprise-Lily"
Lygodesmia aphylla,Rose-Rush
Lygodium japonicum,Japanese Climbing Fern
Lygodium palmatum,"American Climbing Fern, Hartford Fern"
Lyonia ligustrina var. foliosiflora,"Southern Maleberry, Southern He-Huckleberry"
Lyonia ligustrina var. ligustrina,"Northern Maleberry, Northern He-Huckleberry"
Lyonia lucida,"Shining Fetterbush, Hurrah-Bush, Horse-Wicky"
Lysimachia ciliata,"Fringed Loosestrife, Fringed Yellow-Loosestrife"
Lysimachia fraseri,"Fraser's Loosestrife, Fraser’s Yellow-Loosestrife"
Lysimachia graminea,"Grassleaf Loosestrife, Grassleaf Yellow-Loosestrife"
Lysimachia hybrida,"Lowland Loosestrife, River Loosestrife, Swamp-Candles, Lowland Yellow-Loosestrife"
Lysimachia lanceolata,"Lance-Leaf Loosestrife, Lance-Leaf Yellow-Loosestrife"
Lysimachia nummularia,"Creeping-Jenny, Moneywort, Creeping-Charlie"
Lysimachia quadriflora,"Prairie Loosestrife, Smooth Loosestrife, Four-Flower Yellow-Loosestrife"
Lysimachia quadrifolia,"Whorled Loosestrife, Whorled Yellow-Loosestrife, Cross-Wort"
Lysimachia tonsa,"Southern Loosestrife, Appalachian Loosestrife, Southern Yellow-Loosestrife"
Lythrum alatum var. alatum,Northern Winged Loosestrife
Lythrum alatum var. lanceolatum,Southern Winged Loosestrife
Lythrum lineare,"Saltmarsh Loosestrife, Narrowleaf Loosestrife, Wand Lythrum"
Lythrum salicaria,"Purple Loosestrife, Spiked Loosestrife"
Lythrum thymifolia,Thyme-Leaf Loosestrife
Maclura pomifera,"Osage-Orange, Bow-Wood, Hedge-Apple"
Macranthera flammea,"Flame-Flower, Hummingbird-Flower"
Macroptilium lathyroides,"Wild Bush-Bean, Phasey-Bean"
Macrothelypteris torresiana,"Mariana Maiden Fern, False Maiden Fern"
Magnolia ×soulangiana,"Saucer Magnolia, Tulip Magnolia"
Magnolia acuminata var. acuminata,"Common Cucumber-Tree, Cucumber Magnolia"
Magnolia acuminata var. subcordata,"Yellow Cucumber-Tree, Showy Cucumber Magnolia, Yellow Magnolia"
Magnolia fraseri,"Fraser’s Magnolia, Mountain Magnolia, Ear-Leaf Umbrella-Tree"
Magnolia grandiflora,"Southern Magnolia, Bull Bay, Flowering Magnolia"
Magnolia macrophylla,"Bigleaf Magnolia, Oowah-Tree"
Magnolia pyramidata,"Pyramid Magnolia, Bartram’s Magnolia"
Magnolia tripetala,"Umbrella Magnolia, Umbrella-Tree"
Magnolia virginiana var. australis,"Southern Sweetbay, Silver-Bay, Swamp-Bay"
Magnolia virginiana var. virginiana,"Northern Sweetbay, Sweet-Bay Magnolia"
Mahonia bealei,"Leather-Leaf Mahonia, Leather-Leaf Holly-Grape, Beale’s Oregon-Grape, Beale’s Barberry"
Maianthemum racemosum,"False Solomon’s-Seal, False Spikenard, Plume-Lily, Eastern Solomon’s-Plume, Feathery False Lily-Of-The-Valley"
Malaxis unifolia,Green Adder’s-Mouth
Malus angustifolia,Southern Crabapple
Malus coronaria,"Sweet Crabapple, Wild Crabapple"
Malus pumila,"Common Apple, Cultivated Apple, Paradise Apple"
Malva neglecta,"Dwarf Mallow, Common Mallow, Dwarf Cheeseweed"
Malva nicaeensis,"Bull Mallow, Bull Cheeseweed"
Malva sylvestris,"High Mallow, French-Hollyhock"
Malvastrum corchorifolium,False Mallow
Malvastrum coromandelianum,Three-Lobe False Mallow
Malvastrum hispidum,"Hispid False Mallow, Yellow False Mallow"
Malvaviscus drummondii,"Turk's-Cap-Mallow, Turk’s-Cap"
Manfreda virginica,"Eastern False Aloe, Rattlesnake-Master, Virginia Agave"
Manihot grahamii,"Hardy Tapioca, Graham’s Manihot, Graham's Cassava"
Marrubium vulgare,"White Horehound, Common Horehound"
Marshallia mohrii,"Mohr’s Barbara’s-Buttons, Coosa Barbara’s-Buttons"
Marshallia obovata var. obovata,"Spoon-Shape Barbara’s-Buttons, Piedmont Barbara’s-Buttons"
Marshallia obovata var. scaposa,Scapose Barbara’s-Buttons
Marshallia tenuifolia,"Narrowleaf Barbara’s-Buttons, Slim-Leaf Barbara’s-Buttons"
Marshallia trinervia,"Broadleaf Barbara’s-Buttons, Colonial Barbara’s-Buttons"
Marsilea macropoda,"Big-Foot Water-Clover, Clover Fern, Large-Foot Pepperwort"
Marsilea minuta,"Dwarf Water-Clover, Small Water-Clover, Small Clover Fern"
Marsilea mutica,"Australian Water-Clover, Banded Nardoo"
Matelea alabamensis,"Alabama Milkvine, Alabama Spinypod"
Matelea baldwyniana,"Baldwin’s Milkvine, White Spinypod"
Matelea carolinensis,"Carolina Milkvine, Carolina Spinypod"
Matelea decipiens,"Old-Field Milkvine, Deceptive Spinypod"
Matelea flavidula,"Yellow Milkvine, Yellow Spinypod"
Matricaria chamomilla,"German Chamomile, Wild Chamomile, Scented Mayweed"
Mayaca fluviatilis,Stream Bog-Moss
Mazus pumilus,"Japanese Mazus, Asian Mazus"
Mecardonia acuminata var. acuminata,"Common Axil-Flower, Blackening Hedge-Hyssop"
Mecardonia acuminata var. microphylla,"Pond Axil-Flower, Small-Leaf Axil-Flower"
Medeola virginiana,Indian Cucumber-Root
Medicago arabica,"Spotted Medick, Spotted Bur-Clover"
Medicago lupulina,"Black Medick, Yellow Trefoil"
Medicago minima,"Little Bur-Clover, Bur Medick, Downy Bur-Clover"
Medicago orbicularis,"Black-Disk Medick, Large-Disc Medick, Button-Clover"
Medicago polymorpha,"Smooth Bur-Clover, Toothed Medick"
Medicago sativa,"Alfalfa, Lucerne"
Megathyrsus maximus,"Guinea Grass, Guinea Liverseed Grass"
Melampodium divaricatum,"Butter-Daisy, Boton-De-Oro"
Melanthera nivea,Snow Squarestem
Melia azedarach,"China-Berry, Carolina-Mahogany, Pride-Of-India, Persian-Lilac, Chinaberry-Tree"
Melica mutica,Two-Flower Melic Grass
Melica nitens,Three-Flower Melic Grass
Melilotus alba,"White Sweet-Clover, White Melilot"
Melilotus indicus,"Sour-Clover, Annual Yellow Sweet-Clover, Indian Sweet-Clover, Small Melilot"
Melilotus officinalis,"Yellow Sweet-Clover, Yellow Melilot, Ribbed Melilot"
Melinis repens,"Rose Natal Grass, Creeping Molasses Grass, Ruby Grass, Natal Red-Top"
Melissa officinalis,"Lemon Balm, Common Balm, Garden Balm"
Melochia corchorifolia,Chocolate-Weed
Melothria pendula,"Creeping-Cucumber, Melonette"
Menispermum canadense,"Canadian Moonseed, Common Moonseed, Yellow Parilla"
Mentha ×piperita,Peppermint
Mentha ×rotundifolia,"False Apple Mint, Roundleaf Mint"
Mentha spicata,Spearmint
Mercurialis annua,"Annual Mercury, Herb-Mercury, Boys-And-Girls"
Merremia dissecta,"Alamo-Vine, Noyau-Vine, Snake-Vine"
Mertensia virginica,"Virginia Bluebells, Virginia Cowslip"
Micranthemum umbrosum,"Shade Mudflower, Baby-Tears"
Micranthes virginiensis,"Early Saxifrage, Virginia Saxifrage"
Microstegium vimineum,"Japanese Stilt Grass, Nepal Grass, Nepalese Brown-Top, Flexible Sasa-Grass, Japanese-Grass"
Mikania cordifolia,"Florida Keys Hempvine, Heartleaf Climbing Hempweed"
Mikania scandens,"Climbing Hempvine, Climbing Hempweed"
Mimosa microphylla,"Little-Leaf Sensitive-Brier, Eastern Sensitive-Brier, Little-Leaf Mimosa"
Mimosa strigillosa,"Powder-Puff, Sunshine Mimosa, Sensitive-Plant"
Mimulus alatus,"Sharp-Wing Monkey-Flower, Winged Monkey-Flower"
Mimulus ringens,"Allegheny Monkey-Flower, Square-Stem Monkey-Flower"
Minuartia glabra,"Appalachian Stitchwort, Appalachian Sandwort"
Minuartia godfreyi,"Godfrey’s Stitchwort, Godfrey's Sandwort"
Minuartia michauxii,"Michaux’s Stitchwort, Rock Sandwort"
Minuartia muscorum,"Dixie Stitchwort, Dixie Sandwort"
Minuartia patula,"Pitcher’s Stitchwort, Lime-Barren Sandwort, Glade Sandwort"
Minuartia uniflora,"One-Flower Stitchwort, Single-Flower Sandwort, Piedmont Sandwort"
Mirabilis albida,"White Four-O’clock, Pale Umbrella-Wort"
Mirabilis jalapa,"Garden Four-O'clock, Marvel-Of-Peru, Beauty-Of-The-Night"
Mirabilis nyctaginea,"Heartleaf Four-O’clock, Heartleaf Umbrella-Wort, Wild Four-O’clock"
Miscanthus sinensis,"Chinese Silvergrass, Zebra Grass"
Mitchella repens,"Partridge-Berry, Squawberry, Checker-Berry, Twin-Flower"
Mitella diphylla,"Two-Leaf Miterwort, Two-Leaf Bishop’s-Cap"
Mitracarpus hirtus,"Tropical Girdlepod, White-Eye, Small Square-Weed"
Mitreola angustifolia,"Narrow-Leaf Hornpod, Narrow-Leaf Miterwort"
Mitreola petiolata,"Lax Hornpod, Caribbean Miterwort"
Mitreola sessilifolia,"Swamp Hornpod, Small-Leaf Miterwort"
Modiola caroliniana,"Carolina Bristle-Mallow, Cheeses, Bristly-Mallow"
Mollugo verticillata,"Green Carpetweed, Indian-Chickweed"
Momordica charantia,"Bitter-Melon, Balsam-Pear, Bitter-Gourd"
Monarda bradburiana,"Bradbury’s Beebalm, Eastern Beebalm, Eastern Horsemint"
Monarda citriodora,"Lemon Beebalm, Lemon Bergamot, Lemon Mint"
Monarda clinopodia,"White Bergamot, Basil Bergamot, Basil Beebalm, White Beebalm"
Monarda fistulosa var. fistulosa,"Appalachian Bergamot, Wild Bergamot, Mint-Leaf Beebalm"
Monarda fistulosa var. mollis,Eastern Bergamot
Monarda punctata,"Spotted Beebalm, Dotted Horsemint, Eastern Horsemint"
Monarda russeliana,"Red-Purple Beebalm, Russell's Beebalm, Red Spotted Horsemint"
Monotropa uniflora,"Indian-Pipe, Corpse-Plant, Ghost-Plant, Convulsion-Root, Fairy-Smoke"
Monotropsis odorata,"Pygmy-Pipes, Sweet Pinesap, Carolina Beechdrops"
Morella caroliniensis,"Evergreen Bayberry, Pocosin Bayberry"
Morella cerifera,"Southern Wax-Myrtle, Southern Bayberry, Candleberry"
Morella inodora,"Scentless Bayberry, Odorless Bayberry, Odorless Wax-Myrtle"
Morella pumila,"Dwarf Wax-Myrtle, Dwarf Bayberry"
Morus alba,"White Mulberry, Silkworm Mulberry, Russian Mulberry"
Morus rubra,Red Mulberry
Mosla dianthera,Miniature Beefsteak-Plant
Muhlenbergia capillaris,"Hair-Awn Muhly, Long-Awn Muhly, Long-Awn Hairgrass, Pink Muhly"
Muhlenbergia expansa,"Cut-Over Muhly, Spreading Muhly, Savannah Hairgrass"
Muhlenbergia frondosa,Wirestem Muhly
Muhlenbergia schreberi,"Nimblewill, Schreber’s Muhly"
Muhlenbergia sericea,"Sweetgrass, Dune Hairgrass, Purple Muhly"
Muhlenbergia sobolifera,"Rock Muhly, Branched Muhly, Cliff Muhly"
Muhlenbergia sylvatica,"Woodland Muhly, Forest Muhly"
Muhlenbergia tenuiflora,"Slim-Flower Muhly, Slender Muhly"
Murdannia keisak,"Marsh Dewflower, Wart-Removing-Herb, Marsh-Dayflower, Asian-Spiderwort"
Murdannia nudiflora,"Doveweed, Naked-Stem Dewflower,"
Musa ×paradisiaca,"Hybrid Banana, French Plantain"
Muscadinia rotundifolia var. munsoniana,"Munson Grape, Bullace Grape"
Muscadinia rotundifolia var. rotundifolia,"Muscadine, Scuppernong"
Muscari botryoides,"Compact Grape-Hyacinth, Common Grape-Hyacinth, Graveyard-Hyacinth"
Muscari comosum,"Tassel Grape-Hyacinth, Feather-Hyacinth, Tassel-Hyacinth, Fringe-Hyacinth"
Muscari neglectum,"Starch Grape-Hyacinth, Blue-Bottle, Starch-Hyacinth"
Myosotis discolor,"Changing Forget-Me-Not, Yellow-And-Blue Forget-Me-Not, Yellow-And-Blue Scorpion-Grass"
Myosotis macrosperma,"Large-Seed Forget-Me-Not, Big-Seed Forget-Me-Not, Big-Seed Scorpion-Grass"
Myosotis verna,"Spring Forget-Me-Not, Early Forget-Me-Not, Spring Scorpion-Grass"
Myosurus minimus,Tiny Mousetail
Myriophyllum aquaticum,Parrot’s-Feather
Myriophyllum heterophyllum,"Two-Leaf Water-Milfoil, Variable-Leaf Water-Milfoil, Southern Water-Milfoil"
Myriophyllum laxum,"Loose Water-Milfoil, Lax Water-Milfoil"
Myriophyllum pinnatum,"Cutleaf Water-Milfoil, Alternate-Leaf Water-Milfoil"
Myriophyllum spicatum,Eurasian Water-Milfoil
Nabalus altissimus,Tall Rattlesnake-Root
Nabalus barbatus,"Barbed Rattlesnake-Root, Flatwoods Rattlesnake-Root"
Nabalus serpentarius,"Lion’s-Foot, Gall-Of-The-Earth, Cankerweed"
Najas gracillima,"Slender Water-Nymph, Thread-Like Niad, Slender Naiad"
Najas guadalupensis ssp. floridana,Florida Water-Nymph
Najas guadalupensis ssp. guadalupensis,"Southern Water-Nymph, Common Water-Nymph, Southern Niad, Guadalupe Water-Nymph"
Najas minor,"Brittle Water-Nymph, Brittle Niad, Spiny-Leaf Naiad"
Nama jamaicense,Jamaican-Weed
Nandina domestica,"Heavenly-Bamboo, Sacred-Bamboo"
Narcissus ×incomparabilis,"Nonesuch Daffodil, Peerless Daffodil"
Narcissus ×intermedius,"Star Daffodil, Star Jonquil"
Narcissus ×medioluteus,"Primrose-Peerless, Twin-Sisters, Two-Flower Narcissus"
Narcissus ×odorus,"Campernelle Jonquil, Sweet-Scented Jonquil"
Narcissus jonquilla,"Jonquil, Apodanthus Daffodil"
Narcissus papyraceus,Paper-White Narcissus
Narcissus poeticus,"Poet’s Narcissus, Pheasant’s-Eye Daffodil"
Narcissus pseudonarcissus,"Common Daffodil, Trumpet Narcissus"
Narcissus tazetta,"Cream Narcissus, Bunch-Flower Daffodil"
Nassella neesiana,"Chilean Needlegrass, Uruguayan Needlegrass, Uruguayan Tussockgrass"
Nasturtium microphyllum,"One-Row Watercress, One-Row Yellowcress, Narrow-Fruit Watercress"
Nasturtium officinale,"Watercress, Two-Row Watercress, Water-Radish, Water-Rocket"
Neeragrostis reptans,Creeping Lovegrass
Nelumbo lutea,"American Lotus, Yellow Lotus, Water-Chinquapin"
Nelumbo nucifera,"Sacred Lotus, Pink Lotus, Oriental Lotus-Lily"
Nemastylis geminiflora,"Prairie Pleat-Leaf, Prairie Celestial, Celestial-Lily"
Nemophila aphylla,"Small-Flower Baby-Blue-Eyes, Eastern Baby-Blue-Eyes"
Nepeta cataria,"Catnip, Catmint"
Nephrolepis cordifolia,"Narrow Sword Fern, Tuber Sword Fern, Wild Boston Fern"
Neptunia lutea,"Yellow Puff, Yellow Neptunia"
Neptunia pubescens,"Tropical Puff, Tropical Neptunia"
Nerium oleander,Oleander
Nestronia umbellula,"Leech-Brush, Conjurer's-Nut, Indian-Olive"
Neviusia alabamensis,Alabama Snow-Wreath
Nicandra physalodes,"Apple-Of-Peru, Shoofly-Plant"
Nicotiana glauca,Tree Tobacco
Nicotiana longiflora,Long-Flower Tobacco
Nicotiana repanda,Fiddle-Leaf Tobacco
Nothoscordum bivalve,"False Garlic, Crow-Poison, Grace Garlic"
Nothoscordum gracile,"Onion-Weed, Slender False Garlic"
Nuphar advena,"Yellow Pond-Lily, Broadleaf Pond-Lily, Spatterdock"
Nuphar orbiculata,Roundleaf Pond-Lily
Nuphar ulvacea,"Sea-Lettuce Pond-Lily, West Florida Cow-Lily"
Nuttallanthus canadensis,"Old-Field Toadflax, Common Toadflax, Blue Toadflax, Canadian Toadflax"
Nuttallanthus floridanus,"Apalachicola Toadflax, Florida Toadflax"
Nuttallanthus texanus,Texas Toadflax
Nymphaea mexicana,"Yellow Water-Lily, Banana Water-Lily"
Nymphaea odorata,"Fragrant Water-Lily, American White Water-Lily"
Nymphoides aquatica,"Big Floating-Heart, Banana Floating-Heart, Banana-Plant, Banana-Lily"
Nymphoides cordata,Little Floating-Heart
Nyssa aquatica,"Water Tupelo, Tupelo Gum, Cotton Gum"
Nyssa biflora,"Swamp Tupelo, Water Gum, Swamp Black Gum"
Nyssa ogeche,"Ogeechee Tupelo, Ogeechee Lime, Ogeechee Plum"
Nyssa sylvatica,"Black Gum, Black Tupelo, Sour Gum"
Obolaria virginica,Virginia Pennywort
Oclemena reticulata,"Pinebarren Whitetop-Aster, Pinebarren-Aster, Pinebarren Nodding-Aster"
Oenothera berlandieri,"Berlandier’s Sundrops, Texas-Primrose, Square-Bud-Primrose"
Oenothera biennis,"Common Evening-Primrose, King’s-Cureall"
Oenothera curtiflora,"Velvetweed, Small-Flower Gaura"
Oenothera curtissii,Curtiss’ Evening-Primrose
Oenothera filiformis,"Long-Flower Beeblossom, Large-Flower Gaura"
Oenothera filipes,"Slender-Stalk Beeblossom, Threadstalk Gaura, Slender Gaura"
Oenothera fruticosa var. fruiticosa,"Narrowleaf Sundrops, Common Sundrops, Narrowleaf Evening-Primrose"
Oenothera fruticosa var. subglobosa,Flatrock Sundrops
Oenothera gaura,"Biennial Beeblossom, Biennial Gaura, Northeastern Gaura"
Oenothera grandiflora,"Large-Flower Evening-Primrose, Bartram’s Evening-Primrose"
Oenothera heterophylla ssp. orientalis,Oriental Evening-Primrose
Oenothera humifusa,"Seabeach Evening-Primrose, Seaside Evening-Primrose, Spreading Evening-Primrose"
Oenothera laciniata,Cutleaf Evening-Primrose
Oenothera lindheimeri,"Lindheimer’s Beeblossom, White Gaura, Butterfly Gaura"
Oenothera linifolia,"Threadleaf Sundrops, Flaxleaf Sundrops, Threadleaf Evening-Primrose"
Oenothera nutans,Nodding Evening-Primrose
Oenothera pilosella,"Prairie Sundrops, Meadow Evening-Primrose, Meadow Sundrops, Midwestern Evening-Primrose"
Oenothera simulans,"Southern Beeblossom, Southeastern Gaura"
Oenothera sinuosa,"Wavy-Leaf Beeblossom, Wavy-Leaf Gaura, Texas Gaura"
Oenothera speciosa,"Pink-Ladies, Showy Evening-Primrose, Pink Sundrops"
Oenothera tetragona var. brevistipata,Southern Sundrops
Oenothera tetragona var. sharpii,Sharp’s Sundrops
Oenothera triloba,"Stemless Evening-Primrose, Three-Lobed Evening-Primrose"
Oenothera villosa,Hairy Evening-Primrose
Oldenlandia boscii,"Bosc’s Mille-Graines, Bosc's Bluet"
Oldenlandia corymbosa,Flat-Top Mille-Graines
Oldenlandia salzmannii,Salzmann’s Mille-Graines
Oldenlandia uniflora,"Clustered Mille-Graines, Clustered-Bluet"
Onoclea sensibilis,"Sensitive Fern, Bead Fern"
Onopordum acanthium,"Scotch-Thistle, Cotton-Thistle"
Ophioglossum crotalophoroides,"Bulbous Adder’s-Tongue, Dwarf Adder’s-Tongue"
Ophioglossum engelmannii,"Limestone Adder’s-Tongue, Engelmann’s Adder’s-Tongue"
Ophioglossum nudicaule,"Least Adder’s-Tongue, Slender Adder’s-Tongue"
Ophioglossum petiolatum,"Long-Stem Adder’s-Tongue, Stalked Adder’s-Tongue"
Ophioglossum vulgatum,"Southern Adder’s-Tongue, Common Adder’s-Tongue"
Ophiopogon japonicus,Mondo-Grass
Oplismenus hirtellus ssp. setarius,"Basketgrass, Woods Grass"
Opuntia austrina,Southern Prickly-Pear
Opuntia engelmannii var. lindheimeri,"Texas Prickly-Pear, Nopal Prickly-Pear"
Opuntia humifusa,"Eastern Prickly-Pear, Devil’s-Tongue"
Opuntia monacantha,"Common Prickly-Pear, Drooping Prickly-Pear"
Opuntia pusilla,"Cockspur Prickly-Pear, Creeping Cactus, Dune Prickly-Pear"
Orbexilum lupinellum,"Piedmont Leather-Root, Lupine Scurf-Pea"
Orbexilum onobrychis,"French-Grass, Lance-Leaf Scurf-Pea"
Orbexilum pedunculatum var. pedunculatum,Western Sampson’s-Snakeroot
Orbexilum pedunculatum var. psoralioides,Eastern Sampson’s-Snakeroot
Orbexilum simplex,Single-Stem Leather-Root
Ornithogalum umbellatum,"Star-Of-Bethlehem, Sleepy-Dick, Nap-At-Noon, Grass-Lily, Eleven-O'clock Lady"
Orobanche uniflora,"One-Flower Broomrape, One-Flower Cancer-Root, Naked Broomrape"
Orontium aquaticum,"Golden-Club, Bog-Torch, Never-Wet"
Osmorhiza claytonii,"Hairy Sweet-Cicely, Bland Sweet-Cicely, Clayton’s Sweetroot"
Osmorhiza longistylis,"Anise-Root, Long-Style Sweetroot, Smooth Sweet-Cicely"
Osmunda claytoniana,Interrupted Fern
Osmunda regalis var. spectabilis,Royal Fern
Osmundastrum cinnamomeum,Cinnamon Fern
Ostrya virginiana,"Eastern Hop-Hornbeam, Ironwood"
Oxalis corniculata,"Creeping Wood-Sorrel, Creeping Lady's-Sorrel, Creeping Yellow Wood-Sorrel"
Oxalis corymbosa,"Pink Wood-Sorrel, South American Wood-Sorrel, Large-Flower Pink-Sorrel"
Oxalis dillenii,"Gray-Green Wood-Sorrel, Dillen’s Wood-Sorrel, Southern Yellow Wood-Sorrel, Sour-Grass"
Oxalis florida,"Large-Flowered Wood-Sorrel, Slender Wood-Sorrel"
Oxalis grandis,"Great Yellow Wood-Sorrel, Great Wood-Sorrel"
Oxalis latifolia,"Broadleaf Wood-Sorrel, Mexican Oxalis"
Oxalis priceae,"Tufted Yellow Wood-Sorrel, Price’s Wood-Sorrel"
Oxalis rubra,"Windowbox Wood-Sorrel, Red Oxalis"
Oxalis stricta,"Upright Yellow Wood-Sorrel, Common Yellow Wood-Sorrel"
Oxalis violacea,"Violet Wood-Sorrel, Violet Sour-Grass"
Oxycaryum cubense,Cuban Bulrush
Oxydendrum arboreum,"Sourwood, Sorrel-Tree"
Oxypolis filiformis,"Water Cowbane, Leafless Cowbane, Water Dropwort"
Oxypolis rigidior,"Stiff Cowbane, Common Water Dropwort, Pig-Potato"
Pachysandra procumbens,"Allegheny-Spurge, Mountain-Spurge"
Packera anonyma,"Small’s Ragwort, Southern Ragwort, Small’s Groundsel"
Packera aurea,"Golden Ragwort, Heartleaf Ragwort, Golden Groundsel"
Packera glabella,"Butterweed, Smooth Ragwort, Cress-Leaf Groundsel"
Packera obovata,"Roundleaf Ragwort, Roundleaf Groundsel, Squaw-Weed"
Packera paupercula,"Balsam Ragwort, Northern Meadow Groundsel, Balsam Groundsel"
Packera plattensis,"Prairie Ragwort, Prairie Groundsel"
Packera tomentosa,"Woolly Ragwort, Woolly Groundsel"
Palhinhaea cernua,"Staghorn Clubmoss, Nodding Clubmoss"
Panax quinquefolius,"American Ginseng, Sang"
Panax trifolius,Dwarf Ginseng
Panicum amarum ssp. amarulum,"Southern Seabeach Grass, Coastal Panicgrass, Dune Panicgrass Beach Panicgrass"
Panicum amarum ssp. amarum,"Bitter Seabeach Grass, Bitter Panicgrass, Smaller Seabeach Grass"
Panicum bergii,Berg’s Panicgrass
Panicum capillare,"Old Witchgrass, Common Panicgrass, Common Witchgrass, Old-Field Witchgrass, Tumbleweed Grass, Witch’s-Hair"
Panicum dichotomiflorum,"Fall Panicgrass, Spreading Witchgrass"
Panicum flexile,"Wiry Panicgrass, Wiry Witchgrass, Slender Panicgrass"
Panicum hemitomon,Maiden-Cane
Panicum miliaceum,"Broomcorn Millet, Hog Millet, Proso Millet"
Panicum philadelphicum ssp. gattingeri,Gattinger’s Panicgrass
Panicum philadelphicum ssp. lithophilum,"Flatrock Panicgrass, Swallen’s Panicgrass"
Panicum philadelphicum ssp. philadelphicum,"Philadelphia Panicgrass, Woodland Panicgrass, Woods Witchgrass"
Panicum repens,Torpedo Grass
Panicum verrucosum,Warty Panicgrass
Panicum virgatum,"Switchgrass, Wand Panicgrass"
Papaver dubium,"Long-Head Poppy, Blind-Eyes, Long Smooth-Headed Poppy"
Papaver hybridum,"Rough Poppy, Round Prickly-Head Poppy"
Papaver rhoeas,"Corn Poppy, Field Poppy, Red Poppy"
Papaver somniferum,Opium Poppy
Parapholis incurva,"Curved Sickle Grass, Hard Grass, Thin-Tail"
Parathelypteris noveboracensis,New York Fern
Parentucellia viscosa,"Yellow Glandweed, Yellow Bartsia"
Parietaria floridana,Florida Pellitory
